Player,Position,GamesPlayed,Goals,Assists,Points,PlusMinus,PointsPerGame,TimeOnIcePerGame,Salary,CapHit
Aaron Ekblad,D,51,4,14,18,27,0.35,20:52:00,4000000,7500000
Adam Fantilli,C,49,12,15,27,-21,0.55,15:43:00,855000,950000
Adam Fox,D,70,16,55,71,19,1.01,23:29:00,12000000,9500000
Adam Henrique,C,77,22,25,47,6,0.61,16:53:00,1456250,1456250
Adam Larsson,D,77,4,14,18,2,0.23,22:59:00,5500000,4000000
Adam Lowry,C,79,10,23,33,15,0.42,16:08:00,4500000,3250000
Adam Pelech,D,55,1,15,16,-2,0.29,20:12:00,5750000,5750000
Adrian Kempe,R,74,27,45,72,14,0.97,18:56:00,5750000,5500000
Alec Martinez,D,53,4,13,17,-1,0.32,19:09:00,4250000,5250000
Aleksander Barkov,C,71,23,54,77,29,1.08,19:35:00,1000000,10000000
Alex DeBrincat,R,79,24,39,63,-3,0.8,17:48:00,8250000,7875000
Alex Iafallo,L,79,11,15,26,13,0.33,15:23:00,4400000,4000000
Alex Killorn,L,60,18,18,36,-15,0.6,18:46:00,6250000,6250000
Alex Laferriere,R,78,12,11,23,-12,0.29,13:16:00,787500,875000
Alex Newhook,C,52,13,18,31,-12,0.6,16:57:00,3500000,2900000
Alex Ovechkin,L,76,30,34,64,-22,0.84,19:18:00,1000000,9500000
Alex Pietrangelo,D,64,4,29,33,-5,0.52,23:34:00,4300000,8800000
Alex Tuch,R,73,22,37,59,10,0.81,19:24:00,4750000,4750000
Alex Vlasic,D,72,2,14,16,-6,0.22,21:26:00,832500,916667
Alexander Holtz,R,80,16,12,28,-13,0.35,11:34:00,832500,894167
Alexander Romanov,D,78,7,14,21,20,0.27,20:52:00,2500000,2500000
Alexander Wennberg,C,77,10,20,30,1,0.39,18:01:00,2500000,2250000
Alexandre Carrier,D,71,4,15,19,6,0.27,18:49:00,2500000,2500000
Alexandre Texier,C,76,11,18,29,-5,0.38,15:09:00,1750000,1525000
Alexey Toropchenko,R,79,14,6,20,-3,0.25,12:26:00,1250000,1250000
Alexis Lafrenière,L,80,27,29,56,-1,0.7,17:17:00,1650000,2325000
Aliaksei Protas,C,75,6,23,29,-5,0.39,13:37:00,775000,789167
Anders Lee,L,79,20,15,35,1,0.44,15:35:00,8950000,7000000
Andrei Kuzmenko,L,68,18,22,40,-12,0.59,14:46:00,3500000,5500000
Andrei Svechnikov,R,57,19,30,49,11,0.86,17:00:00,9000000,7750000
Andrew Cogliano,C,72,6,13,19,10,0.26,10:35:00,825000,825000
Andrew Copp,C,77,13,20,33,0,0.43,16:20:00,6250000,5625000
Andrew Mangiapane,L,71,13,25,38,7,0.54,16:03:00,5800000,5800000
Anthony Beauvillier,L,57,5,11,16,-8,0.28,13:38:00,4150000,4150000
Anthony Cirelli,C,77,20,24,44,4,0.57,18:30:00,1625000,6250000
Anthony Duclair,L,70,22,17,39,-7,0.56,15:51:00,4000000,3000000
Anthony Mantha,R,72,23,20,43,10,0.6,14:16:00,3250000,2850000
Anton Lundell,C,76,12,22,34,19,0.45,15:23:00,832500,925000
Artem Zub,D,66,4,20,24,5,0.36,21:01:00,4000000,4600000
Artemi Panarin,L,80,47,70,117,15,1.46,20:06:00,1000000,11642857
Arthur Kaliyev,R,51,7,8,15,-3,0.29,11:48:00,832500,894167
Artturi Lehkonen,L,42,16,16,32,13,0.76,18:32:00,5000000,4500000
Auston Matthews,C,78,68,38,106,37,1.36,20:57:00,775000,11640250
Beck Malenstyn,L,78,6,14,20,-3,0.26,14:17:00,775000,762500
Ben Chiarot,D,74,5,14,19,-4,0.26,19:39:00,5250000,4750000
Blake Coleman,C,77,29,23,52,17,0.68,17:09:00,5900000,4900000
Bo Horvat,C,78,33,35,68,0,0.87,19:40:00,8500000,8500000
Bobby Brink,R,55,11,12,23,1,0.42,13:56:00,832500,925000
Bobby McMann,C,55,15,9,24,13,0.44,11:42:00,775000,762500
Boone Jenner,C,58,22,13,35,-8,0.6,20:06:00,3750000,3750000
Boris Katchouk,L,56,7,6,13,-3,0.23,11:28:00,775000,758333
Bowen Byram,D,71,11,16,27,-1,0.38,20:18:00,3080000,3850000
Brad Marchand,L,79,28,38,66,6,0.84,19:12:00,3000000,6125000
Braden Schneider,D,80,4,14,18,-2,0.23,15:50:00,832500,925000
Brady Skjei,D,79,13,33,46,15,0.58,21:17:00,5400000,5250000
Brady Tkachuk,L,78,35,35,70,2,0.9,19:03:00,10500000,8205714
Brandon Carlo,D,74,4,10,14,21,0.19,19:58:00,4700000,4100000
Brandon Hagel,L,79,24,48,72,3,0.91,19:19:00,2050000,1500000
Brandon Montour,D,64,7,25,32,-3,0.5,23:19:00,775000,3500000
Brandon Saad,L,79,26,15,41,-3,0.52,15:32:00,5500000,4500000
Brandon Tanev,L,62,7,6,13,0,0.21,14:38:00,2500000,3500000
Brayden McNabb,D,78,3,22,25,16,0.32,19:17:00,2750000,2850000
Brayden Point,C,78,45,43,88,-12,1.13,20:00:00,5000000,9500000
Brayden Schenn,C,79,19,25,44,-22,0.56,17:42:00,8000000,6500000
Brendan Gallagher,R,74,13,13,26,-25,0.35,13:47:00,8000000,6500000
Brendan Smith,D,61,5,10,15,-1,0.25,16:05:00,1200000,1100000
Brenden Dillon,D,75,8,12,20,18,0.27,18:44:00,2000000,3900000
Brent Burns,D,79,10,30,40,17,0.51,21:38:00,1980000,5280000
Brett Howden,C,68,8,9,17,-11,0.25,13:08:00,775000,1900000
Brett Kulak,D,77,3,11,14,4,0.18,15:10:00,3000000,2750000
Brett Leason,R,65,11,11,22,-7,0.34,13:05:00,800000,775000
