Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,Tm,Salary,Cap Hit
Aaron Ekblad,20232024,FLA,R,D,51,4,14,18,27,50,0.35,3,14,1,4,0,0,0,1,98,4.1,20:52,--,FLA,4000000,7500000
Adam Fantilli,20232024,CBJ,L,C,49,12,15,27,-21,16,0.55,11,24,1,3,0,0,0,1,115,10.4,15:43,43.6,CBJ,855000,950000
Adam Fox,20232024,NYR,R,D,70,16,55,71,19,36,1.01,10,37,6,33,0,1,1,5,133,12,23:29,--,NYR,12000000,9500000
Adam Henrique,20232024,"ANA,EDM",L,C,77,22,25,47,6,37,0.61,15,32,5,10,2,5,0,4,130,16.9,16:53,53.6,EDM,1456250,1456250
Adam Larsson,20232024,SEA,R,D,77,4,14,18,2,55,0.23,4,17,0,0,0,1,0,1,124,3.2,22:59,--,SEA,5500000,4000000
Adam Lowry,20232024,WPG,L,C,79,10,23,33,15,57,0.42,9,29,0,2,1,2,1,1,116,8.6,16:08,49.3,WPG,4500000,3250000
Adam Pelech,20232024,NYI,L,D,55,1,15,16,-2,27,0.29,1,15,0,0,0,1,1,1,70,1.4,20:12,--,NYI,5750000,5750000
Adrian Kempe,20232024,LAK,L,R,74,27,45,72,14,72,0.97,19,43,5,25,3,4,0,3,241,11.2,18:56,25,LAK,5750000,5500000
Alec Martinez,20232024,VGK,L,D,53,4,13,17,-1,6,0.32,4,14,0,3,0,0,0,0,70,5.7,19:09,--,VEG,4250000,5250000
Aleksander Barkov,20232024,FLA,L,C,71,23,54,77,29,24,1.08,18,46,5,29,0,2,0,4,190,12.1,19:35,57,FLA,1000000,10000000
Alex DeBrincat,20232024,DET,R,R,79,24,39,63,-3,34,0.8,14,45,10,18,0,0,0,1,219,11,17:48,40.5,DET,8250000,7875000
Alex Iafallo,20232024,WPG,L,L,79,11,15,26,13,6,0.33,9,20,2,5,0,1,0,2,117,9.4,15:23,32,WPG,4400000,4000000
Alex Kerfoot,20232024,ARI,L,C,79,12,31,43,-15,26,0.54,8,29,2,11,2,3,0,3,100,12,17:18,48,NA,NA,NA
Alex Killorn,20232024,ANA,L,L,60,18,18,36,-15,52,0.6,13,29,5,7,0,0,1,5,136,13.2,18:46,34.2,ANA,6250000,6250000
Alex Laferriere,20232024,LAK,R,R,78,12,11,23,-12,44,0.29,12,20,0,3,0,0,0,2,141,8.5,13:16,53.9,LAK,787500,875000
Alex Newhook,20232024,MTL,L,C,52,13,18,31,-12,18,0.6,11,24,2,7,0,0,0,2,77,16.9,16:57,47.3,MTL,3500000,2900000
Alex Nylander,20232024,"PIT,CBJ",R,L,26,10,4,14,-2,4,0.54,8,12,2,2,0,0,0,2,65,15.4,16:19,47.4,NA,NA,NA
Alex Ovechkin,20232024,WSH,R,L,76,30,34,64,-22,20,0.84,17,36,13,28,0,0,1,5,268,11.2,19:18,0,WSH,1000000,9500000
Alex Pietrangelo,20232024,VGK,R,D,64,4,29,33,-5,24,0.52,4,23,0,9,0,1,1,2,141,2.8,23:34,--,VEG,4300000,8800000
Alex Tuch,20232024,BUF,R,R,73,22,37,59,10,52,0.81,19,47,2,11,1,1,0,7,186,11.8,19:24,38,BUF,4750000,4750000
Alex Vlasic,20232024,CHI,L,D,72,2,14,16,-6,41,0.22,2,14,0,2,0,0,0,1,68,2.9,21:26,--,CHI,832500,916667
Alexander Holtz,20232024,NJD,R,R,80,16,12,28,-13,14,0.35,15,26,1,2,0,0,0,3,120,13.3,11:34,29.6,NJD,832500,894167
Alexander Romanov,20232024,NYI,L,D,78,7,14,21,20,20,0.27,7,21,0,0,0,0,0,0,115,6.1,20:52,--,NYI,2500000,2500000
Alexander Wennberg,20232024,"SEA,NYR",L,C,77,10,20,30,1,14,0.39,6,23,3,6,1,1,0,4,90,11.1,18:01,46.4,NYR,2500000,2250000
Alexandre Carrier,20232024,NSH,R,D,71,4,15,19,6,44,0.27,3,17,0,1,1,1,0,2,75,5.3,18:49,--,NSH,2500000,2500000
Alexandre Texier,20232024,CBJ,L,C,76,11,18,29,-5,36,0.38,9,25,0,2,2,2,0,1,106,10.4,15:09,31.6,CBJ,1750000,1525000
Alexey Toropchenko,20232024,STL,L,R,79,14,6,20,-3,30,0.25,12,18,0,0,2,2,0,1,108,13,12:26,0,STL,1250000,1250000
Alexis Lafrenière,20232024,NYR,L,L,80,27,29,56,-1,40,0.7,25,50,2,6,0,0,1,5,212,12.7,17:17,25.8,NYR,1650000,2325000
Aliaksei Protas,20232024,WSH,L,C,75,6,23,29,-5,8,0.39,6,28,0,0,0,1,0,1,104,5.8,13:37,40.4,WSH,775000,789167
Anders Lee,20232024,NYI,L,L,79,20,15,35,1,68,0.44,15,30,5,5,0,0,0,2,182,11,15:35,43.2,NYI,8950000,7000000
Andre Burakovsky,20232024,SEA,L,L,45,7,9,16,-12,14,0.36,2,7,5,9,0,0,0,1,83,8.4,14:22,50,NA,NA,NA
Andrei Kuzmenko,20232024,"VAN,CGY",R,L,68,18,22,40,-12,12,0.59,12,24,6,16,0,0,1,4,110,16.4,14:46,100,CGY,3500000,5500000
Andrei Svechnikov,20232024,CAR,L,R,57,19,30,49,11,58,0.86,14,33,5,16,0,0,0,8,140,13.6,17:00,50,CAR,9000000,7750000
Andrew Cogliano,20232024,COL,L,C,72,6,13,19,10,16,0.26,5,15,0,0,1,4,0,0,60,10,10:35,33.8,COL,825000,825000
Andrew Copp,20232024,DET,L,C,77,13,20,33,0,26,0.43,11,27,1,3,1,3,0,3,107,12.2,16:20,53.6,DET,6250000,5625000
Andrew Mangiapane,20232024,CGY,L,L,71,13,25,38,7,47,0.54,11,35,2,3,0,0,0,0,117,11.1,16:03,37.5,CGY,5800000,5800000
Anthony Beauvillier,20232024,"VAN,CHI,NSH",L,L,57,5,11,16,-8,6,0.28,3,12,2,4,0,0,0,0,94,5.3,13:38,52,NSH,4150000,4150000
Anthony Cirelli,20232024,TBL,L,C,77,20,24,44,4,38,0.57,15,35,3,7,2,2,1,3,124,16.1,18:30,49.2,TBL,1625000,6250000
Anthony Duclair,20232024,"SJS,TBL",L,L,70,22,17,39,-7,34,0.56,17,27,5,12,0,0,0,1,124,17.7,15:51,36.6,TBL,4000000,3000000
Anthony Mantha,20232024,"WSH,VGK",L,R,72,23,20,43,10,25,0.6,20,35,3,8,0,0,0,0,112,20.5,14:16,27.3,VEG,3250000,2850000
